"FID","Latitude","Longitude","STATE_ABBR","STATE_NAME"
1592,35.1289879,-85.56680916,"TN","Tennessee"
1593,35.02996341,-84.41825275,"TN","Tennessee"
1594,34.92065004,-83.27310326,"GA","Georgia"
1663,34.32171978,-119.99520175,"CA","California"
1664,34.4220577,-119.02372026,"CA","California"
1665,34.51445491,-117.99374662,"CA","California"
1666,34.70627497,-116.87432544,"CA","California"
1667,34.88813024,-115.74895579,"CA","California"
1669,35.22169655,-113.48146866,"AZ","Arizona"
1673,35.76665303,-108.88768316,"NM","New Mexico"
1675,35.97723752,-106.56635115,"NM","New Mexico"
1676,36.06690615,-105.40071869,"NM","New Mexico"
1677,36.14611141,-104.23222746,"NM","New Mexico"
1678,36.2148223,-103.0612232,"NM","New Mexico"
1683,36.40015613,-97.18089116,"OK","Oklahoma"
1685,36.40019713,-94.82366898,"OK","Oklahoma"
1686,36.38432366,-93.64542109,"AR","Arkansas"
1688,36.32082063,-91.29146892,"AR","Arkansas"
1692,36.06723283,-86.60379749,"TN","Tennessee"
1693,35.97760461,-85.4381533,"TN","Tennessee"
1694,35.87754768,-84.27570716,"TN","Tennessee"
1695,35.76710053,-83.11679395,"TN","Tennessee"
1697,35.51520743,-80.81087414,"NC","North Carolina"
1699,35.22230273,-78.52293889,"NC","North Carolina"
1764,34.96466604,-120.30446766,"CA","California"
1765,35.1425585,-119.38627993,"CA","California"
1363,32.6520665,-115.91568354,"CA","California"
1364,32.67879406,-114.90994663,"CA","California"
1365,32.59515295,-113.92634978,"AZ","Arizona"
1366,32.6926635,-112.86627238,"AZ","Arizona"
1367,32.83988004,-111.76332177,"AZ","Arizona"
1368,32.97716069,-110.65604708,"AZ","Arizona"
1371,33.32895472,-107.31109412,"NM","New Mexico"
1372,33.42607343,-106.1893695,"NM","New Mexico"
1375,33.65653089,-102.80819729,"TX","Texas"
1377,33.7591641,-100.54386747,"TX","Texas"
1378,33.79512017,-99.40959146,"TX","Texas"
1379,33.82081784,-98.27433798,"TX","Texas"
1384,33.79523939,-92.59479971,"AR","Arkansas"
1385,33.75932299,-91.46051929,"AR","Arkansas"
1386,33.71316078,-90.32753811,"MS","Mississippi"
1388,33.59016716,-88.0667538,"AL","Alabama"
1390,33.42642958,-85.81497678,"AL","Alabama"
1391,33.32935001,-84.69324046,"GA","Georgia"
1392,33.22217279,-83.57467634,"GA","Georgia"
1393,33.10493396,-82.45958105,"GA","Georgia"
1396,33.07736056,-79.49397036,"SC","South Carolina"
1462,32.90256246,-118.47811132,"CA","California"
1465,33.2106875,-115.28304191,"CA","California"
1466,33.37919601,-114.17729725,"AZ","Arizona"
1467,33.53778545,-113.0665224,"AZ","Arizona"
1468,33.68640351,-111.95098997,"AZ","Arizona"
1469,33.82500045,-110.83098017,"AZ","Arizona"
1472,34.18020928,-107.44699519,"NM","New Mexico"
1473,34.27828136,-106.31201717,"NM","New Mexico"
1474,34.36612747,-105.17406354,"NM","New Mexico"
1476,34.5110198,-102.89050367,"TX","Texas"
1477,34.56801375,-101.74554544,"TX","Texas"
1478,34.61467735,-100.59890654,"TX","Texas"
1479,34.65099353,-99.45091941,"OK","Oklahoma"
1481,34.69253408,-97.1522415,"OK","Oklahoma"
1482,34.69774315,-96.0022251,"OK","Oklahoma"
1485,34.65111394,-92.55352489,"AR","Arkansas"
1486,34.61483782,-91.40553319,"AR","Arkansas"
1487,34.56821423,-90.25888843,"MS","Mississippi"
1489,34.44399652,-87.97096662,"AL","Alabama"
1490,34.36644749,-86.83034513,"AL","Alabama"
1491,34.27864101,-85.69238059,"AL","Alabama"
1494,33.95400702,-82.29757735,"SC","South Carolina"
1566,34.05048685,-115.51325749,"CA","California"
1567,34.22062233,-114.39499859,"CA","California"
1568,34.38075558,-113.27153126,"AZ","Arizona"
1570,34.67079794,-111.0101043,"AZ","Arizona"
1571,34.80060527,-109.87273093,"AZ","Arizona"
1574,35.12862461,-106.43764132,"NM","New Mexico"
1577,35.3637375,-102.97482082,"TX","Texas"
1578,35.42131715,-101.81592905,"TX","Texas"
1579,35.46846153,-100.65529423,"TX","Texas"
1580,35.50515267,-99.49326108,"OK","Oklahoma"
1581,35.5313765,-98.33017678,"OK","Oklahoma"
1585,35.53145763,-93.67432535,"AR","Arkansas"
1586,35.50527432,-92.51123766,"AR","Arkansas"
1587,35.46862366,-91.34919977,"AR","Arkansas"
1589,35.36398039,-89.02965969,"TN","Tennessee"
