FID,Genus_species,Persistence,Family,Genus,Repro_strategy,M_wing_color,z.temp.change,z.all.burned,z.high.burned,z.hist.temp,z.per.obs,z.size,gen.spec,z.bio5,Change_mean_temp,future_change
2371,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.050444123,1.524060566,2.702841667,-0.34128201,0.856829634,1.270959694,spec,-1.217587024,0.490126989,0.980253978
2396,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-1.006635501,-1.539339936,-0.843582062,-0.650916423,-1.288259942,1.270959694,spec,-1.217587024,0.326907033,0.653814067
2397,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.762819002,-1.797241412,-0.843582062,-0.672564009,0.686900402,1.270959694,spec,-1.217587024,0.368526022,0.737052044
2402,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.050754613,-1.796306188,-0.843582062,-0.670956103,1.495997177,1.270959694,spec,-1.217587024,0.490073989,0.980147978
2403,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.266222808,-1.825743599,-0.843582062,-0.614357452,1.834955389,1.270959694,spec,-1.217587024,0.453293999,0.906587998
2404,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.022421386,-0.85976286,-0.832452648,-0.620552139,-2.052356266,1.270959694,spec,-1.217587024,0.502564986,1.005129971
2497,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.609437047,-0.813352396,-0.843582062,-0.88289675,-0.278179544,1.270959694,spec,-1.217587024,0.394708015,0.78941603
2504,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.030236355,-1.825743599,-0.843582062,-0.836588694,0.09273331,1.270959694,spec,-1.217587024,0.503898985,1.007797971
2506,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.32497318,-1.122079629,-0.635444103,-0.995045037,-0.524163618,1.270959694,spec,-1.217587024,0.554209972,1.108419944
2507,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,0.114859468,-1.825743599,-0.843582062,-0.879630114,-0.841292246,1.270959694,spec,-1.217587024,0.518343981,1.036687963
2510,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.946796349,-1.204443136,-0.725689461,-0.474468355,1.404080795,1.270959694,spec,-1.217587024,0.660353943,1.320707886
2608,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.166107858,-0.837768031,-0.843582062,-0.880527215,1.070859065,1.270959694,spec,-1.217587024,0.527091979,1.054183958
2609,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,0.028560882,-1.825743599,-0.843582062,-1.043163925,-1.288259942,1.270959694,spec,-1.217587024,0.503612985,1.007225971
2811,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.430176493,-1.825743599,-0.843582062,-1.340070565,1.070859065,1.270959694,spec,-1.217587024,0.572167967,1.144335934
2812,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,-0.225273306,-1.407425461,-0.843582062,-1.172034618,0.590982716,1.270959694,spec,-1.217587024,0.460283997,0.920567994
3018,Aeshna_umbrosa,1,Aeshnidae,Aeshna,f,n,0.81738069,-0.819810778,-0.72269817,-1.28335326,-1.288259942,1.270959694,spec,-1.217587024,0.638262949,1.276525898
3186,Aeshna_umbrosa,0,Aeshnidae,Aeshna,f,n,-0.595353699,0.812620219,1.73793564,-1.236960745,0.856829634,1.270959694,spec,-1.217587024,0.397112014,0.794224029
470,Anax_junius,1,Aeshnidae,Anax,f,n,0.856531695,-1.17362579,-0.843582062,2.083477226,-0.524163618,1.472139047,spec,0.538254954,0.644945947,1.289891895
471,Anax_junius,1,Aeshnidae,Anax,f,n,0.660308008,-0.359251371,-0.843582062,1.926256569,-0.841292246,1.472139047,spec,0.538254954,0.611450956,1.222901913
587,Anax_junius,1,Aeshnidae,Anax,f,n,-0.575119138,1.245158421,0.725875997,1.980632368,-0.077195922,1.472139047,spec,0.538254954,0.400566013,0.801132027
588,Anax_junius,1,Aeshnidae,Anax,f,n,-0.498170396,1.498000624,-0.292484232,1.955893044,0.09273331,1.472139047,spec,0.538254954,0.41370101,0.827402019
673,Anax_junius,1,Aeshnidae,Anax,f,n,2.140242932,0.451724417,-0.148468279,1.778903464,-0.841292246,1.472139047,spec,0.538254954,0.864072888,1.728145776
687,Anax_junius,1,Aeshnidae,Anax,f,n,-1.004743271,0.661051144,0.012253924,2.014032146,-0.077195922,1.472139047,spec,0.538254954,0.327230033,0.654460066
688,Anax_junius,1,Aeshnidae,Anax,f,n,-0.680427901,1.190040441,-0.143554139,2.037862971,-0.278179544,1.472139047,spec,0.538254954,0.382590018,0.765180036
689,Anax_junius,1,Aeshnidae,Anax,f,n,-0.627761803,1.087205178,-0.576678632,1.975577322,-0.278179544,1.472139047,spec,0.538254954,0.391580016,0.783160032
789,Anax_junius,1,Aeshnidae,Anax,f,n,-0.41954618,1.268087777,0.043471055,1.971599694,-0.278179544,1.472139047,spec,0.538254954,0.427122006,0.854244012
889,Anax_junius,1,Aeshnidae,Anax,f,n,0.048233046,0.730009381,0.117152901,1.851818293,-1.288259942,1.472139047,spec,0.538254954,0.506970984,1.013941969
890,Anax_junius,1,Aeshnidae,Anax,f,n,-0.006231549,1.036029308,1.253773555,1.844929618,0.775136119,1.472139047,spec,0.538254954,0.497673987,0.995347974
