FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
1370,0,Aeshnidae,Aeshna,Aeshna_palmata,f,n,1.697349755,1.735013933
1370,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.697349755,1.735013933
1370,1,Aeshnidae,Anax,Anax_junius,f,n,1.697349755,1.735013933
1370,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.697349755,1.735013933
1370,0,Libellulidae,Plathemis,Plathemis_lydia,p,y,1.697349755,1.735013933
1370,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.697349755,1.735013933
1370,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,1.697349755,1.735013933
1373,0,Libellulidae,Libellula,Libellula_saturata,p,y,1.281305157,0.867450165
1374,0,Aeshnidae,Aeshna,Aeshna_juncea,f,n,1.808505099,0.875042485
1374,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.808505099,0.875042485
1374,0,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.808505099,0.875042485
1374,0,Libellulidae,Pantala,Pantala_hymenaea,f,y,1.808505099,0.875042485
1374,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,1.808505099,0.875042485
1374,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.808505099,0.875042485
1374,0,Libellulidae,Sympetrum,Sympetrum_vicinum,p,y,1.808505099,0.875042485
1374,0,Aeshnidae,Aeshna,Aeshna_palmata,f,n,1.808505099,0.875042485
1374,1,Libellulidae,Sympetrum,Sympetrum_semicinctum,p,y,1.808505099,0.875042485
1374,1,Aeshnidae,Rhionaeschna,Rhionaeschna_multicolor,f,n,1.808505099,0.875042485
1374,1,Libellulidae,Libellula,Libellula_saturata,p,y,1.808505099,0.875042485
1376,1,Libellulidae,Pantala,Pantala_hymenaea,f,y,2.665831842,-0.393600173
1376,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.665831842,-0.393600173
1380,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,1.491295844,0.158282829
1380,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,1.491295844,0.158282829
1380,1,Libellulidae,Libellula,Libellula_luctuosa,p,y,1.491295844,0.158282829
1380,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,1.491295844,0.158282829
1380,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,1.491295844,0.158282829
1381,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.934652097,-0.974789473
1382,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.6409229,-0.390743099
1383,1,Libellulidae,Pantala,Pantala_hymenaea,f,y,-0.159982576,-0.974789473
